datetime,open,high,low,close,volume,quote_volume,taker_buy_volume
2024-10-20 05:00:00,68236.0,68291.67,68180.99,68214.0,232.81996,15885044.1005824,113.7884
2024-10-20 06:00:00,68213.99,68410.0,68176.26,68400.01,446.43758,30478570.4871923,348.67231
2024-10-20 07:00:00,68400.01,68433.5,68364.1,68378.0,580.54038,39707874.1037867,395.74384
2024-10-20 08:00:00,68378.01,68500.0,68355.01,68394.0,454.72661,31109027.3092811,231.4297
2024-10-20 09:00:00,68393.99,68445.99,68355.0,68434.2,239.27437,16367001.5978836,123.24928
2024-10-20 10:00:00,68434.2,68458.3,68376.04,68376.05,241.82127,16546542.9403937,119.08406
2024-10-20 11:00:00,68376.05,68443.4,68374.01,68420.01,194.59843,13313313.5246654,91.42643
2024-10-20 12:00:00,68420.01,68438.69,68259.9,68268.36,372.43389,25462906.1756893,144.78864
2024-10-20 13:00:00,68268.37,68486.0,68198.22,68451.85,663.03298,45316421.4669836,351.84038
2024-10-20 14:00:00,68451.85,68772.7,68451.84,68637.99,1336.44277,91752254.2119522,705.42485
2024-10-20 15:00:00,68638.0,68687.99,68366.0,68625.99,653.09373,44753561.3308818,263.00584
2024-10-20 16:00:00,68625.99,68660.0,68505.46,68505.47,342.64364,23494876.3879648,186.72746
2024-10-20 17:00:00,68505.47,68608.0,68422.0,68562.0,319.60725,21897253.2108139,180.82608
2024-10-20 18:00:00,68562.01,68653.5,68562.0,68604.0,218.85961,15019137.2839797,120.51916
2024-10-20 19:00:00,68604.01,68604.01,68495.99,68508.29,256.27441,17564331.4446803,72.58206
2024-10-20 20:00:00,68508.3,68900.0,68461.93,68781.98,482.77596,33184905.7698489,308.59805
2024-10-20 21:00:00,68781.98,68870.0,68658.0,68770.0,463.65363,31873385.1280198,227.37126
2024-10-20 22:00:00,68770.0,69400.0,68600.0,69137.28,2772.83894,191443929.4613965,1653.5972
2024-10-20 23:00:00,69137.28,69196.16,68923.32,69031.99,934.633,64548976.183585,514.7511
2024-10-21 00:00:00,69032.0,69519.52,68972.56,69160.0,1511.98728,104745596.6373561,956.41668
2024-10-21 01:00:00,69160.0,69480.0,69106.0,69210.89,726.66974,50366494.7844217,388.6697
2024-10-21 02:00:00,69210.88,69266.64,68709.87,68710.0,1082.59587,74672771.7185604,624.90747
2024-10-21 03:00:00,68709.99,68940.0,68588.51,68939.99,704.09672,48430880.4627338,396.1906
2024-10-21 04:00:00,68940.0,69039.0,68795.75,69039.0,546.23263,37632081.6190261,264.42574
2024-10-21 05:00:00,69039.0,69185.18,68951.27,68979.97,590.83933,40805399.7945039,235.53883
2024-10-21 06:00:00,68979.96,69146.51,68639.9,68699.36,697.48997,48109698.8335828,283.6996
2024-10-21 07:00:00,68699.36,68799.95,68488.33,68514.0,822.48063,56457314.6110292,369.07165
2024-10-21 08:00:00,68513.99,68661.0,68290.04,68301.46,1026.84906,70318515.354816,347.83691
2024-10-21 09:00:00,68301.47,68426.0,68119.01,68378.0,1084.12302,74042612.9432204,443.96242
2024-10-21 10:00:00,68377.99,68482.87,68261.61,68281.49,1318.07234,90154392.5175232,582.2938
2024-10-21 11:00:00,68281.5,68434.0,68169.02,68238.01,815.1721,55678055.8947424,343.76074
2024-10-21 12:00:00,68238.0,68328.68,68046.0,68207.27,885.71411,60390997.0844435,333.58913
2024-10-21 13:00:00,68207.26,68242.0,67152.0,67312.0,5358.21525,362448072.8076532,1538.61245
2024-10-21 14:00:00,67312.01,67620.25,67020.0,67268.0,3713.85728,250050972.53900713,1419.2258
